Fecha_Cierre,Modulo,Tipo_Ope,Cod_Ofi,Desc_Ofi,Cta_Cliente,Operacion,Sub_Operacion,Sub_Tipo,Plazo,Monto_Desembolso_MN,Fec_Desembolso,Tasa,Total_Cuotas
31/01/2018,101,3,213,EOBP CHOCOPE,100124,7573510,0,3,228,PEN 30000,29/01/2018,0.23,4
31/01/2018,103,11,5,AG ZONA FRANCA,100272,7536755,0,1,546,6000,6/01/2018,0.18,18
31/01/2018,101,3,2,AG CHEPEN,100055,7536666,0,1,185,20000,6/01/2018,0.24,4
31/01/2018,103,36,3,AG HUAMACHUCO,100516,7574549,0,11,1100,40000,29/01/2018,0.2422,36
31/01/2018,102,11,105,AG EL PEDREGAL,125493,7550826,0,15,303,1000,16/01/2018,0.7965,10
31/01/2018,101,3,2,AG CHEPEN,100515,7563166,0,1,195,8000,31/01/2018,0.4101,4
31/01/2018,104,2,3,AG HUAMACHUCO,100541,7548078,0,1,181,1000,16/01/2018,0.5,6
31/01/2018,103,11,5,AG ZONA FRANCA,100641,7553859,0,1,730,6000,17/01/2018,0.34,24
31/01/2018,101,3,2,AG CHEPEN,100924,7545360,0,1,185,5000,12/01/2018,0.4,4
31/01/2018,102,32,67,AG CHACHAPOYAS,141513,7548790,0,1,365,2000,15/01/2018,0.6478,12
31/01/2018,103,11,5,AG ZONA FRANCA,100756,7544107,0,1,365,4000,11/01/2018,0.2,12
31/01/2018,104,1,3,AG HUAMACHUCO,100638,7555492,0,1,90,20000,18/01/2018,0.26,1
31/01/2018,104,1,81,AG SANTIAGO DE CHUCO,100657,7569006,0,6,87,4000,26/01/2018,0.4164,1
31/01/2018,102,32,66,AG TARAPOTO,153843,7551582,0,1,182,800,16/01/2018,0.8165,6
31/01/2018,103,10,5,AG ZONA FRANCA,100897,7546017,0,1,60,2000,12/01/2018,0.18,1
31/01/2018,101,3,2,AG CHEPEN,101477,7541240,0,1,181,20000,10/01/2018,0.2593,4
31/01/2018,102,32,67,AG CHACHAPOYAS,154065,7568977,0,1,312,3500,25/01/2018,0.6478,10
31/01/2018,101,2,213,EOBP CHOCOPE,101514,7558212,0,3,364,12000,20/01/2018,0.3,12
31/01/2018,103,2,5,AG ZONA FRANCA,101073,7555570,0,1,181,500,18/01/2018,0.7548,6
31/01/2018,101,3,86,EOB SAN MIGUEL,101672,7533077,0,1,181,7000,4/01/2018,0.43,4
31/01/2018,103,11,72,AG CASMA,101078,7577198,0,1,170,2500,31/01/2018,0.26,6
31/01/2018,101,2,10,AG CAJABAMBA,102071,7565226,0,1,364,5000,24/01/2018,0.315,12
31/01/2018,102,11,156,AG PAMPA INALAMBRICA,156850,7557349,0,8,151,500,19/01/2018,0.7548,5
31/01/2018,101,1,213,EOBP CHOCOPE,102157,7570179,0,3,187,4500,26/01/2018,0.45,1
31/01/2018,102,32,67,AG CHACHAPOYAS,159225,7548791,0,1,365,3000,15/01/2018,0.6478,12
31/01/2018,103,11,5,AG ZONA FRANCA,101170,7534607,0,1,368,4000,5/01/2018,0.2,12
31/01/2018,101,1,213,EOBP CHOCOPE,102179,7546623,0,3,180,6000,12/01/2018,0.42,1
31/01/2018,104,2,204,EOB CHUGAY,100905,7539312,0,6,733,PEN 21000,29/01/2018,0.2233,24
31/01/2018,103,10,5,AG ZONA FRANCA,101256,7578408,0,1,166,2000,31/01/2018,0.18,1
31/01/2018,101,3,14,AG VIRU,103564,7543407,0,1,246,48000,11/01/2018,0.24,4
31/01/2018,104,2,9,AG CAJAMARCA,101268,7543115,0,6,365,6000,11/01/2018,0.3163,12
31/01/2018,101,2,10,AG CAJABAMBA,103759,7532241,0,1,546,5000,5/01/2018,0.4221,18
31/01/2018,103,11,7,AG EL PORVENIR,101619,7534759,0,1,184,1500,6/01/2018,0.3,6
31/01/2018,103,36,14,AG VIRU,101729,7532764,0,12,365,1500,4/01/2018,0.4893,12
31/01/2018,104,1,81,AG SANTIAGO DE CHUCO,101474,7529072,0,6,90,50000,4/01/2018,0.2,1
31/01/2018,103,11,14,AG VIRU,101940,7562515,0,1,365,2000,22/01/2018,0.4855,12
31/01/2018,103,2,14,AG VIRU,101948,7531739,0,1,302,1000,10/01/2018,0.7319,10
31/01/2018,101,2,59,AG CHOTA,104204,7556241,0,1,547,PEN 5000,19/01/2018,0.3721,18
31/01/2018,101,3,9,AG CAJAMARCA,104348,7530827,0,3,285,8000,3/01/2018,0.3901,6
31/01/2018,103,11,5,AG ZONA FRANCA,102156,7571761,0,1,340,890,27/01/2018,0.28,10
31/01/2018,103,11,5,AG ZONA FRANCA,102567,7563824,0,1,546,40000,23/01/2018,0.18,18
31/01/2018,103,36,82,AG TAYABAMBA,103266,7564904,0,12,463,6200,24/01/2018,0.3969,15
31/01/2018,101,3,2,AG CHEPEN,105808,7560999,0,1,209,25000,23/01/2018,0.3,4
31/01/2018,103,105,54,AG BAMBAMARCA,103610,7576718,0,2,765,5180,30/01/2018,0.1115,1
31/01/2018,103,100,54,AG BAMBAMARCA,103610,7576446,0,2,765,5180,30/01/2018,0.1115,24
31/01/2018,103,36,213,EOBP CHOCOPE,103848,7553305,0,11,733,6000,17/01/2018,0.3669,24
31/01/2018,104,7,81,AG SANTIAGO DE CHUCO,102160,7529393,0,6,365,10000,2/01/2018,0.2514,12
31/01/2018,101,3,2,AG CHEPEN,106042,7563107,0,1,167,10136,25/01/2018,0.3458,4
31/01/2018,101,3,2,AG CHEPEN,106231,7548670,0,1,195,2000,18/01/2018,0.4411,4
31/01/2018,104,2,5,AG ZONA FRANCA,102416,7541811,0,1,730,45000,11/01/2018,0.2,24
31/01/2018,104,1,81,AG SANTIAGO DE CHUCO,102474,7533383,0,6,90,20000,5/01/2018,0.2,1
31/01/2018,104,2,81,AG SANTIAGO DE CHUCO,102474,7532548,0,6,365,2000,5/01/2018,0.4411,12
31/01/2018,103,11,2,AG CHEPEN,105389,7576958,0,1,245,700,30/01/2018,0.25,8
31/01/2018,104,2,7,AG EL PORVENIR,102587,7551902,0,1,546,5000,16/01/2018,0.401,18
31/01/2018,101,2,2,AG CHEPEN,106492,7568959,0,1,543,2000,25/01/2018,0.4431,18
31/01/2018,104,2,5,AG ZONA FRANCA,102618,7552614,0,1000,365,20000,23/01/2018,0.2193,12
31/01/2018,101,2,2,AG CHEPEN,106579,7564480,0,1,424,3500,23/01/2018,0.4084,12
31/01/2018,101,2,2,AG CHEPEN,106597,7563123,0,1,360,1000,26/01/2018,0.53,12
31/01/2018,103,11,2,AG CHEPEN,105998,7557027,0,1,1096,15000,18/01/2018,0.18,36
31/01/2018,104,2,5,AG ZONA FRANCA,102781,7558617,0,1,365,4000,19/01/2018,0.4,12
31/01/2018,104,2,8,AG LA ESPERANZA,102786,7553443,0,6,363,4000,17/01/2018,0.4051,12
31/01/2018,101,2,2,AG CHEPEN,106685,7544799,0,1,372,2000,11/01/2018,0.4431,12
31/01/2018,101,3,2,AG CHEPEN,106797,7563138,0,1,197,5000,24/01/2018,0.4201,4
31/01/2018,101,3,2,AG CHEPEN,106861,7551672,0,1,150,8000,16/01/2018,0.3801,4
31/01/2018,104,2,7,AG EL PORVENIR,103186,7548589,0,9990,365,5000,15/01/2018,0.3701,12
31/01/2018,103,10,3,AG HUAMACHUCO,108170,7578217,0,1,30,6000,31/01/2018,0.286,1
31/01/2018,101,3,2,AG CHEPEN,106887,7576450,0,1,199,20000,30/01/2018,0.28,4
31/01/2018,104,2,67,AG CHACHAPOYAS,103302,7542260,0,6,905,12000,10/01/2018,0.3608,30
31/01/2018,101,3,2,AG CHEPEN,106888,7542642,0,1,179,3000,12/01/2018,0.4365,4
31/01/2018,104,2,10,AG CAJABAMBA,103438,7542226,0,5000,365,1200,10/01/2018,0.55,12
31/01/2018,101,3,2,AG CHEPEN,106897,7572051,0,1,171,10000,31/01/2018,0.38,4
31/01/2018,101,3,2,AG CHEPEN,106902,7541340,0,1,189,40000,12/01/2018,0.24,4
31/01/2018,101,3,2,AG CHEPEN,106910,7532887,0,1,242,8000,4/01/2018,0.4001,4
31/01/2018,101,3,2,AG CHEPEN,106914,7539047,0,1,206,120000,15/01/2018,0.24,4
31/01/2018,104,2,5,AG ZONA FRANCA,103838,7550696,0,9990,381,4600,16/01/2018,0.3335,12
31/01/2018,104,2,213,EOBP CHOCOPE,103863,7533955,0,1,729,50000,5/01/2018,0.2,24
31/01/2018,104,2,213,EOBP CHOCOPE,103905,7530887,0,1,546,20000,3/01/2018,0.2213,18
31/01/2018,103,11,5,AG ZONA FRANCA,109952,7547612,0,1,366,2000,13/01/2018,0.25,12
31/01/2018,104,7,82,AG TAYABAMBA,103922,7569259,0,4,188,70000,26/01/2018,0.2,6
31/01/2018,103,11,5,AG ZONA FRANCA,109965,7550389,0,1,120,2000,15/01/2018,0.34,4
31/01/2018,103,11,8,AG LA ESPERANZA,109999,7556182,0,1,361,500,19/01/2018,0.18,12
