Fecha_Cierre,Modulo,Tipo_Ope,Cod_Ofi,Desc_Ofi,Cta_Cliente,Operacion,Sub_Operacion,Sub_Tipo,Plazo,Monto_Desembolso_MN,Fec_Desembolso,Tasa,Total_Cuotas
31/03/2018,101,1,151,AG TACNA,160212,7677722,0,1,84,20000,28/03/2018,0.32,1
31/03/2018,102,11,14,AG VIRU,101929,7663643,0,9,365,1000,21/03/2018,0.7119,12
31/03/2018,102,32,67,AG CHACHAPOYAS,160913,7645724,0,1,305,2000,10/03/2018,0.6478,10
31/03/2018,102,32,67,AG CHACHAPOYAS,161140,7644237,0,1,306,1200,9/03/2018,0.6478,10
31/03/2018,102,32,68,AG ANDAHUAYLAS,161141,7670477,0,30,374,2000,23/03/2018,0.65,12
31/03/2018,103,11,153,AG MOQUEGUA,160688,7633674,0,1,154,2000,5/03/2018,0.18,5
31/03/2018,103,11,5,AG ZONA FRANCA,100335,7639783,0,1,1096,4000,8/03/2018,0.18,36
31/03/2018,102,32,67,AG CHACHAPOYAS,170197,7680363,0,1,357,1000,31/03/2018,0.6478,12
31/03/2018,102,32,66,AG TARAPOTO,123148,7669272,0,1,195,1000,23/03/2018,0.8165,6
31/03/2018,101,3,2,AG CHEPEN,100180,7648626,0,1,216,10000,13/03/2018,0.32,4
31/03/2018,102,32,68,AG ANDAHUAYLAS,170254,7641999,0,30,277,2000,8/03/2018,0.74,9
31/03/2018,103,11,5,AG ZONA FRANCA,100370,7629524,0,1,93,1190,1/03/2018,0.25,3
31/03/2018,101,1,130,AG AYACUCHO,160687,7657186,0,5,116,1000,16/03/2018,0.5038,1
31/03/2018,102,32,67,AG CHACHAPOYAS,123206,7670339,0,1,361,1000,23/03/2018,0.6478,12
31/03/2018,101,3,213,EOBP CHOCOPE,100313,7629525,0,1,393,20000,5/03/2018,0.2413,4
31/03/2018,102,11,202,EOBP CERRO COLORADO,125994,7631749,0,8,367,2000,3/03/2018,0.686,12
31/03/2018,103,20,307,AG ATE FC,100530,7665670,0,1,742,12000,26/03/2018,0.1115,24
31/03/2018,101,3,14,AG VIRU,100462,7646427,0,1,155,70000,12/03/2018,0.2272,4
31/03/2018,101,2,110,AG CHIVAY,160879,7665323,0,1,364,3000,24/03/2018,0.41,12
31/03/2018,103,11,5,AG ZONA FRANCA,100549,7633512,0,1,554,5000,5/03/2018,0.18,18
31/03/2018,101,1,101,AG CAMANA,160967,7677520,0,1,160,12000,28/03/2018,0.2725,1
31/03/2018,103,11,5,AG ZONA FRANCA,100579,7650292,0,1,385,8000,13/03/2018,0.18,12
31/03/2018,104,2,108,AG CAYMA,160633,7678145,0,6,458,3000,31/03/2018,0.4039,15
31/03/2018,101,3,14,AG VIRU,100621,7645041,0,1,225,10000,12/03/2018,0.3458,4
31/03/2018,102,11,105,AG EL PEDREGAL,182285,7663650,0,7,376,1000,22/03/2018,0.8165,12
31/03/2018,103,36,75,EOB MOTUPE,162456,7641047,0,12,671,8000,8/03/2018,0.4169,22
31/03/2018,103,36,151,AG TACNA,163560,7662511,0,34,365,1000,20/03/2018,0.3208,12
31/03/2018,101,1,88,EOB EL CARMEN,161399,7650096,0,1,365,7000,20/03/2018,0.4467,1
31/03/2018,103,11,5,AG ZONA FRANCA,100756,7647516,0,1,371,3100,12/03/2018,0.2,12
31/03/2018,101,1,151,AG TACNA,161432,7634976,0,99,90,5000,6/03/2018,0.3682,1
31/03/2018,104,2,114,AG AVELINO CACERES,160752,7664186,0,1000,731,20000,21/03/2018,0.26,24
31/03/2018,101,2,86,EOB SAN MIGUEL,101438,7642423,0,1,733,20000,10/03/2018,0.24,24
31/03/2018,101,1,161,OF CORRESPONSAL BN TARATA,161434,7651212,0,3,180,4000,14/03/2018,0.3929,1
31/03/2018,103,36,153,AG MOQUEGUA,166066,7638571,0,11,733,5000,7/03/2018,0.4,24
31/03/2018,104,2,3,AG HUAMACHUCO,100655,7634920,0,9990,365,2000,5/03/2018,0.4411,12
31/03/2018,103,10,5,AG ZONA FRANCA,100897,7655970,0,1,60,2000,16/03/2018,0.18,1
31/03/2018,103,11,5,AG ZONA FRANCA,167028,7670581,0,1,305,25000,24/03/2018,0.19,9
